Entrez	post_mean	log_post_mean
168850	0.224603	0.6485844472074888
8277	0.224669	0.6484568477309498
29883	0.224851	0.6481051766149801
84159	0.224999	0.6478194120906242
9355	0.225108	0.6476090705520442
91748	0.225323	0.6471944751059029
27020	0.225425	0.6469979216529302
8498	0.225442	0.6469651713908979
23215	0.225533	0.6467899031459194
157506	0.22577	0.6463337670170977
7504	0.225778	0.6463183783724549
190	0.225895	0.6460933817243524
23392	0.225909	0.6460664668553004
7705	0.22591	0.6460645444284795
7764	0.225963	0.6459626679824585
10916	0.226344	0.645231013434814
1746	0.226454	0.6450200036955964
1786	0.226459	0.6450104147793603
4915	0.226482	0.6449663084913786
57496	0.226539	0.6448570209060388
2313	0.226589	0.6447611772407464
1453	0.226723	0.6445044204715893
56946	0.226845	0.6442707887865058
